Measurement_ID,Date,Product_Key,Plant_Key,Production_Units,Electricity_kWh,Fuel_Tons,Renewable_Percent,Scope1_Emissions_tCO2,Scope2_Emissions_tCO2,Energy_Cost_USD,Carbon_Tax_USD
1,2019-01-01 00:00:00,1,1,4021,62068,78.41,42.12,10.58,26.08,30264,4089
2,2019-01-01 00:00:00,2,2,4322,3716,458.82,54.53,123.65,12.02,4660,3476
3,2019-01-01 00:00:00,2,3,1301,91606,477.26,62.54,42.52,47.38,15976,1777
4,2019-01-01 00:00:00,2,4,6400,62784,194.0,5.14,115.26,105.63,20081,4239
5,2019-01-01 00:00:00,3,5,5617,50619,255.255,50.125,102.34,75.33,6251,326
6,2019-01-01 05:00:00,4,1,8689,7737,494.95,97.86,123.56,35.72,10512,1539
7,2019-01-01 00:00:00,2,6,6688,64272,437.67,74.04,129.3,129.04,21991,4254
8,2019-01-01 00:00:00,5,4,6793,44263,470.3,71.42,137.99,41.94,6725,732
9,2019-01-01 00:00:00,2,4,4781,22070,477.97,78.88,95.3,70.4,45618,3978
10,2019-01-01 09:00:00,2,7,6400,88769,429.81,45.84,132.95,94.48,11229,3692
11,2019-01-01 00:00:00,3,8,7222,69288,232.31,96.51,186.02,101.33,20968,4610
12,2019-01-01 00:00:00,3,9,5642,65365,311.5,27.98,197.07,130.89,6797,1399
13,2019-01-01 12:00:00,3,10,1799,10776,252.96,25.61,74.54,77.88,43785,1596
14,2019-01-01 13:00:00,3,11,2839,11242,379.87,49.91,149.92,46.71,3376,313
15,2019-01-01 00:00:00,2,12,5465,7191,268.83,10.92,75.93,3.98,49872,2693
16,2019-01-01 00:00:00,2,13,8980,82554,387.82,46.12,122.07,107.69,31071,4342
17,2019-01-01 00:00:00,1,14,4127,28673,162.14,69.51,129.58,47.19,27813,2775
18,2019-01-01 00:00:00,3,15,4981,47581,35.44,53.17,78.64,117.96,13403,3112
19,2019-01-01 00:00:00,1,16,9346,86269,430.5,95.02,70.11,76.99,45506,2113
20,2019-01-01 00:00:00,4,17,4255,19596,428.95,92.52,54.83,80.76,28515,647
21,2019-01-01 00:00:00,3,18,400,94270,381.92,58.44,6.37,112.05,32363,1747
22,2019-01-01 21:00:00,4,19,9995,83423,295.55,7.58,105.91,134.92,48356,1663
23,2019-01-01 00:00:00,5,20,9822,78331,318.31,77.17,44.65,10.12,24618,3344
24,2019-01-01 00:00:00,2,21,8146,2187,157.7,35.88,167.69,79.51,23125,3610
25,2019-01-02 00:00:00,2,22,2337,27112,241.17,30.2,140.88,36.01,44677,3212
26,2019-01-02 01:00:00,1,16,7237,91739,435.83,23.39,39.31,97.56,22804,4030
27,2019-01-02 00:00:00,2,23,5698,94257,442.02,39.6,169.84,101.69,32320,1570
28,2019-01-02 00:00:00,4,24,8756,13247,299.04,90.79,89.94,16.23,25487,1344
29,2019-01-02 00:00:00,2,25,5123,61025,188.36,12.76,9.97,45.79,6505,3716
30,2019-01-02 00:00:00,3,26,2854,82587,476.77,1.63,197.49,20.19,16048,3410
31,2019-01-02 06:00:00,5,1,6938,48176,123.4,14.1,24.31,15.06,11697,3978
32,2019-01-02 07:00:00,1,27,2125,73662,368.66,5.12,177.88,15.24,32764,3322
33,2019-01-02 00:00:00,1,28,4594,37115,435.27,15.74,178.9,69.41,40741,2029
34,2019-01-02 00:00:00,1,29,7840,63604,479.8,59.08,114.0,115.33,30375,3869
35,2019-01-02 00:00:00,3,30,3611,4034,27.48,96.52,27.41,59.54,33160,1165
36,2019-01-02 00:00:00,2,31,6794,31985,314.42,98.14,189.54,38.05,19549,1811
